iter	Passed	Remaining
0	22	22097
1	43	21839
2	74	24667
3	96	24126
4	110	21978
5	127	21050
6	145	20591
7	164	20371
8	181	19974
9	203	20116
10	227	20481
11	255	21067
12	283	21522
13	307	21652
14	323	21226
15	340	20951
16	362	20971
17	379	20722
18	396	20450
19	419	20570
20	449	20935
21	478	21276
22	507	21571
23	530	21574
24	561	21917
25	589	22088
26	614	22156
27	653	22693
28	688	23068
29	725	23446
30	768	24028
31	792	23981
32	821	24057
33	854	24289
34	881	24303
35	920	24639
36	966	25158
37	1006	25469
38	1030	25400
39	1053	25282
40	1084	25362
41	1112	25379
42	1140	25391
43	1170	25442
44	1187	25200
45	1210	25108
46	1239	25125
47	1270	25207
48	1308	25404
49	1350	25657
50	1391	25891
51	1421	25909
52	1447	25856
53	1464	25649
54	1480	25432
55	1497	25241
56	1516	25091
57	1545	25106
58	1572	25080
59	1603	25119
60	1638	25221
61	1665	25190
62	1681	25001
63	1698	24843
64	1714	24660
65	1745	24704
66	1771	24672
67	1798	24646
68	1829	24691
69	1849	24565
70	1866	24419
71	1882	24267
72	1898	24113
73	1921	24039
74	1950	24060
75	1976	24024
76	2001	23994
77	2032	24025
78	2051	23915
79	2068	23783
80	2090	23722
81	2107	23590
82	2132	23561
83	2158	23541
84	2183	23510
85	2217	23571
86	2250	23621
87	2281	23649
88	2311	23656
89	2342	23689
90	2372	23701
91	2398	23674
92	2430	23702
93	2454	23658
94	2470	23532
95	2486	23413
96	2502	23297
97	2522	23216
98	2540	23120
99	2578	23209
100	2621	23332
101	2651	23340
102	2672	23274
103	2699	23253
104	2723	23217
105	2740	23114
106	2774	23157
107	2814	23248
108	2844	23253
109	2867	23204
110	2883	23091
111	2900	22997
112	2924	22957
113	2955	22972
114	2981	22941
115	3008	22927
116	3036	22918
117	3062	22892
118	3086	22849
119	3105	22772
120	3124	22696
121	3140	22602
122	3160	22534
123	3186	22512
124	3216	22517
125	3244	22508
126	3271	22488
127	3288	22400
128	3315	22387
129	3332	22304
130	3349	22217
131	3372	22178
132	3399	22157
133	3427	22148
134	3453	22125
135	3477	22092
136	3495	22020
137	3514	21955
138	3531	21875
139	3547	21794
140	3564	21716
141	3587	21678
142	3616	21674
143	3642	21650
144	3667	21623
145	3696	21622
146	3715	21558
147	3732	21484
148	3748	21408
149	3765	21339
150	3781	21262
151	3811	21266
152	3837	21244
153	3862	21218
154	3889	21205
155	3914	21178
156	3931	21107
157	3946	21030
158	3962	20957
159	3977	20881
160	3998	20836
161	4021	20802
162	4046	20776
163	4072	20759
164	4103	20763
165	4131	20756
166	4147	20686
167	4162	20613
168	4177	20543
169	4198	20500
170	4218	20449
171	4245	20437
172	4278	20453
173	4306	20443
174	4333	20431
175	4352	20378
176	4369	20317
177	4390	20276
178	4408	20218
179	4424	20155
180	4442	20101
181	4469	20089
182	4498	20083
183	4524	20064
184	4551	20052
185	4570	20003
186	4592	19966
187	4608	19905
188	4624	19843
189	4640	19781
190	4656	19722
191	4677	19685
192	4706	19678
193	4733	19664
194	4759	19647
195	4792	19660
196	4809	19604
197	4825	19545
198	4841	19486
199	4858	19435
200	4881	19405
201	4912	19406
202	4940	19398
203	4973	19405
204	5003	19404
205	5020	19350
206	5035	19291
